,H39,○,"【1】caption要素で記述した「3月6日の週の予定」がデータテーブルの表題として表示されるかを確認する。

","【1】○
「3月6日の週の予定」がデータテーブルの表題として表示されることを確認した。

",,,,
,H42,○,"【1】見出しとしてマークアップされている「本日の株式市場」(h1)、「サイト内ナビゲーション」(h2)、「関連リンク」(h2)が、それぞれ見出しであることが分かるように表示されるか（例：サイズの大きい太字のテキストで、h1の見出しがh2の見出しよりもサイズが大きい）を確認する。

","【1】○
「本日の株式市場」、「サイト内ナビゲーション」、「関連リンク」がそれぞれ見出しと分かる大きさで表示され、また、「本日の株式市場」は他の2つよりも大きく表示されることを確認した。

",,,,
,H43,‐,テスト不要,,,,,
,H44-1,○,"【1】マウスポインタでラベル（テキスト）「お名前」をクリックして、テキストフィールドにフォーカスが移動するかを確認する。

","【1】○
マウスポインタで「お名前」をクリックすると、テキストフィールドにフォーカスが移動することを確認した。

",,,,
,H44-2,○,"【1】マウスポインタでラベル（テキスト）「HTML」をクリックして、チェックボックスの状態（「チェックあり」と「チェックなし」）を切り替えることができるかを確認する。

","【1】○
マウスポインタでラベル「HTML」をクリックすると、チェックボックスの状態（「チェックあり」と「チェックなし」）が切り替わることを確認した。

",,,,
,H44-3,○,"【1】ラジオボタンのラベル（「チョコレートタイプ」、「クリームたっぷりタイプ」、「はちみつがけタイプ」）をマウスポインタでクリックすると、それぞれのラジオボタンが選択された状態になるかを確認する。

","【1】○
ラジオボタンのラベル（「チョコレートタイプ」、「クリームたっぷりタイプ」、「はちみつがけタイプ」）をマウスポインタでクリックすると、それぞれのラジオボタンが選択された状態になることを確認した。

",,,,
,H45,×,"【1】ブラウザの設定を変更して画像を非表示にした際に、何らかの方法によってlongdesc属性で指定しているリンク先のH45-ref1.htmlへ移動できるかを確認する。

画像非表示の設定は下記の通り実施
ブラウザ右上のボタン→[コンテンツの設定]→“画像”[すべての画像を表示しない]にチェック

","【1】×
エリア内に何も表示されないことを確認した。

",,,,
,H48-1,○,"【1】各リスト項目の先頭に数字が順に表示されるかを確認する。

","【1】○
以下の通り表示されることを確認した。
1.ボウルにたまごと牛乳を入れ、混ぜます。
2.塩とコショウを加えます。

",,,,
,H48-2,‐,テスト不要,,,,,
,H48-3,○,"【1】用語と定義が区別できるように表示されるか（例：定義がインデントされる）を確認する。

","【1】○
“点滅”と“一秒間に3～5回点いたり消えたりすること。”が異なる行に表示され、“一秒間に3～5回点いたり消えたりすること。”は2文字分程度“点滅”よりもインデントがついた状態で表示されることを確認した。

",,,,
,H49-1,○,"【1】CSSをオフにした状態で、em要素（「本当に」）又はstrong要素（「素晴らしい」）でマークアップした箇所を他とは区別のつく見た目でレンダリングするかを確認する。
【2】em要素とstrong要素との区別も付くようにレンダリングするか（多くの場合、em要素はイタリック、strong要素は太字）を確認する。


CSSオフでの確認方法は次の通り
chromeはCSSをオフにする機能が提供されていないため、“テスト開始”から“テスト終了”までのエリアだけを別HTMLに書き出して表示確認した。

","【1】○
“本当に”はイタリック、“素晴らしい”は太字で表示され、他とは区別がつく見た目であることを確認した。
【2】○
em要素とstrong要素との区別も付くように、“本当に”はイタリック、“素晴らしい”は太字でレンダリングすることを確認した。

",,,,
,H49-2,○,"【1】CSSをオフにした状態で、cite要素（「わが人生の物語」）でマークアップした箇所を他とは区別のつく見た目でレンダリングするか（多くの場合、cite要素はイタリックで表示される）を確認する。

CSSオフでの確認方法は次の通り
chromeはCSSをオフにする機能が提供されていないため、“テスト開始”から“テスト終了”までのエリアだけを別HTMLに書き出して表示確認した。


【2】CSSをオフにした状態で、blockquote要素（「ここが引用されている･･･」）でマークアップした箇所を他とは区別のつく見た目でレンダリングするか（多くの場合、blockquote要素はインデントされる）を確認する。


CSSオフでの確認方法は次の通り
chromeはCSSをオフにする機能が提供されていないため、“テスト開始”から“テスト終了”までのエリアだけを別HTMLに書き出して表示確認した。

","【1】○
“わが人生の物語”がイタリックで表示さ、他とは区別がつく見た目であることを確認した。
【2】○
“ここが引用されている、、”のエリアがインデントされて表示されることを確認した。

",,,,
,H49-3,○,"【1】q要素でマークアップした部分「自己憐憫は･･･でしょう」の前後に引用符（""）が一つずつ表示されるか（引用符が2つ続いて表示されていないか）を確認する。

","【1】○
「自己憐憫は･･･でしょう」の前後に引用符（""）が一つずつ表示される（引用符が2つ続いて表示されていないか）ことを確認した。

",,,,
,H49-4,○,"【1】sup要素でマークアップされた""Zn2+""の""2+""が、上付き文字として表示されるかを確認する。
【2】sub要素でマークアップされた""H2O""の""2""が、下付き文字で表示されるかを確認する。

","【1】○
""Zn2+""の""2+""が、上付き文字として表示されることを確認した。
【2】○
""H2O""の""2""が、下付き文字で表示されることを確認した。

",,,,
,H50-1,×,"【1】何らかのキー操作により、リスト全体（リストとしてマークアップされた部分）をスキップできるかを確認する。

","【1】×
リスト全体をスキップすることはできないことを確認した。

",,,,
,H50-2,‐,テスト不要,,,,,
